Title,Price,Rating,Reviews,Rating_Num,Reviews_Int,Rating_Category
Sponsored Ad - Wireless Bluetooth Headphones Over Ear 65H Playtime HiFi Stereo Headset with Microphone and 6EQ Modes Foldable Bluetooth V5.3 Headphones for Travel Smartphone Computer Laptop Rose Gold,17.99,4.6 out of 5 stars,10834,4.6,10834,High
"Hybrid Active Noise Cancelling Bluetooth Headphones, Over Ear Wireless Headphones with 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups for Home Office Travel",43.02,5.0 out of 5 stars,277,5.0,277,High
"Wireless Earbuds, Bluetooth 5.3 Headphones LED Power Display, 2025 New Wireless Earphones, 4 ENC Noise Cancelling Mic, HiFi Stereo, 48H Playtime Mini Case IP7 Waterproof for Sport Walk",12.99,4.4 out of 5 stars,6719,4.4,6719,High
"KVIDIO Bluetooth Headphones Over Ear, 65 Hours Playtime Wireless Headphones with Microphone, Foldable Lightweight Headset with Deep Bass, HiFi Stereo Sound Low Latency for Travel Work Cellphone",43.02,4.5 out of 5 stars,29898,4.5,29898,High
"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",43.02,4.6 out of 5 stars,61248,4.6,61248,High
"Sponsored Ad - Neckband Bluetooth Headphones, Around The Neck Headphones 24H+ Playtime, Bluetooth Headsets with Call Vibration, Shark Jaw Design Wireless Earbuds+Noise Isolation/Built-in Mic/IPX7 Waterproof",27.99,3.9 out of 5 stars,2565,3.9,2565,Medium
"BERIBES Upgraded Hybrid Active Noise Cancelling Headphones with Transparent Modes,70H Playtime Bluetooth Headphones Wireless Bluetooth with Mic, Deep Bass,3.5MM Cable,Soft-Earpads,Fast Charging-Black",43.02,4.4 out of 5 stars,5299,4.4,5299,High
"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode",43.02,4.6 out of 5 stars,39465,4.6,39465,High
"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing (Black/Blue)",16.78,4.4 out of 5 stars,84305,4.4,84305,High
"Wireless Earbuds Bluetooth 5.3 Headphones, 40Hrs Playback Stereo Ear Buds with LED Display Charging Case IPX7 Waterproof in-Ear Earphones with Mic for Phone Tablet Laptop Sports, White",43.02,4.4 out of 5 stars,4715,4.4,4715,High
